timestamp,open,high,low,close,volume
1751328000000,30002.969802704923,30008.7494946008,29988.34954738935,30002.969802704923,32.348901296601795
1751328300000,30002.969802704923,30025.18417884512,29998.76079538938,30010.342279224296,79.36506113880112
1751328600000,30010.342279224296,30052.401812903172,30032.979832406436,30044.78533699229,56.28673774441205
1751328900000,30044.78533699229,30059.84649747591,30040.60797316673,30050.56793719998,90.20443769743179
1751329200000,30050.56793719998,30084.452227692276,30060.50119572926,30072.32555009143,45.29027328114892
1751329500000,30072.32555009143,30090.577478151314,30058.666017868123,30070.69128242727,18.503370320952943
1751329800000,30070.69128242727,30057.10563193068,30029.66842694594,30042.618662595927,42.07445024651122
1751330100000,30042.618662595927,30040.595946914746,30027.803947011824,30033.31391374477,34.72488050749672
1751330400000,30033.31391374477,30046.11815479881,30027.344701166952,30040.29197132942,62.45133731177625
1751330700000,30040.29197132942,30055.15220288629,30033.6916730166,30039.070216484724,28.265727554598012
1751331000000,30039.070216484724,30066.10513415724,30029.953978474667,30046.632596059906,78.16197984519712
1751331300000,30046.632596059906,30054.695991129425,30025.200017148367,30034.967494626846,16.62268781099105
1751331600000,30034.967494626846,30075.348233636814,30054.470736608204,30065.862647356764,42.032760558714294
1751331900000,30065.862647356764,30075.854715139685,30041.755106205215,30056.602455478405,72.55037233340686
1751332200000,30056.602455478405,30089.646807358866,30070.42729904116,30083.608802636056,98.63949113585524
1751332500000,30083.608802636056,30098.9090933086,30067.968930154482,30083.58751664343,75.59213266917777
1751332800000,30083.58751664343,30098.04790557078,30074.765947494576,30084.091798240046,54.34920953107462
1751333100000,30084.091798240046,30111.19893489882,30086.406598046462,30101.54268797118,71.92879640303124
1751333400000,30101.54268797118,30120.387491561123,30086.2437834576,30103.7701142387,77.61529958773221
1751333700000,30103.7701142387,30078.38246859711,30059.48701835103,30069.34708129633,46.73368547560124
1751334000000,30069.34708129633,30045.906734102293,30014.884922955505,30026.506870170793,34.95042265257783
1751334300000,30026.506870170793,30009.080049326134,29995.267144916943,30000.6498748172,71.28178104990954
1751334600000,30000.6498748172,30039.041233088654,30011.017513395018,30022.921846651458,49.74917742676805
